Set,Vinuesa,Hart,Crotty,Genes
Random_CoreNet_GRN_sig_only_size_match_194,1,2,2,"{'SIN3B', 'NBPF6', 'BCAS3', 'WDR31', 'CEP162', 'TBCD', 'P2RY14', 'WDR46', 'B7Z856', 'PRM2', 'KBTBD2', 'CBL', 'RSPH14', 'MAF', 'SCD', 'UBE2N', 'TBC1D9B', 'ADGRA2', 'FAM124B', 'SCAPER', 'PKN2', 'SLC2A4RG', 'C1QB', 'FADS3', 'JAM2', 'SNU13', 'COMMD10', 'CCDC71', 'DCAF1', 'ANKLE2', 'CHRNA3', 'SIPA1L2', 'ATP6V0D1', 'TFAP2B', 'PRRT2', 'NABP2', 'TWEAK', 'DESI2', 'GBP3', 'FZD6', 'Q32MA8', 'HLA-DQA1', 'PPP2R3C', 'UBL7', 'GADD45GIP1', 'CCDC9', 'DNMBP', 'ODC1', 'RAB2A', 'ZSCAN18', 'RGS14', 'GUF1', 'UBD', 'NCSTN', 'NFIA', 'PRR14', 'CAMKK2', 'NBPF26', 'FAM22F', 'PDXP', 'ATG101', 'DSG2', 'ORMDL2', 'NOX1', 'MED7', 'SLC25A24', 'ARMH4', 'TWIST2', 'OTOGL', 'ADNP2', 'ZNF84', 'SECISBP2L', 'MT1DP', 'C4A', 'ZNF776', 'MIR9-1HG', 'K7EMQ9', 'ZFYVE28', 'MRPL46', 'DCUN1D2', 'RTF1', 'CTXN3', 'RAB22A', 'GPR158', 'ZFP3', 'MTFR2', 'GPR157', 'THY1', 'DKKL1', 'LRCH2', 'ASTE1', 'ATP5F1D', 'MEX3C', 'SMARCAL1', 'UBXN2B', 'CFP', 'LPAR2', 'CST9', 'VPS11', 'DHX16', 'ARG2', 'SGCE', 'RARG', 'UNC119B', 'INHBA', 'HAUS8', 'ESYT3', 'MOXD1', 'PITX1', 'FILIP1L', 'TBCCD1', 'CCDC150', 'B7Z6F6', 'KCNJ12', 'CELF4', 'SAMD13', 'IL12RB1', 'CRTAC1', 'MEGF8', 'GNPDA2', 'IST1', 'MTRR', 'ITGBL1', 'TIGD4', 'RUVBL', 'ZBED6', 'KCTD2', 'HEL-S-70', 'SCYL3', 'CEND1', 'CACNA1C', 'KRTAP19-6', 'ATP6V0A2', 'ZNF596', 'LRRCC1', 'DHRS11', 'LGALS3', 'CALM3', 'ERLIN1', 'FTHL17', 'DIPK1B', 'DOCK9', 'ACAD9', 'TBC1D8', 'ZC3H11A', 'RNF152', 'J3QTP2', 'CEBPE', 'EXOC6B', 'CIB4', 'PSD3', 'PRND'}"
Random_CoreNet_GRN_sig_only_size_match_195,1,0,2,"{'SNRPC', 'NRG2', 'HLCS', 'TET2', 'DKFZP686P17171', 'CCN5', 'ITM2C', 'WDR91', 'NOTCH1', 'KRT40', 'AIFM2', 'PPL', 'CDC42EP1', 'MPHOSPH10', 'SULT1E1', 'TCF12', 'HAND2', 'P09565', 'TNPO2', 'GBA', 'ATF2', 'VENTX', 'NRIP3', 'NDUFS1', 'CLUHP3', 'GOLGA2', 'TASL', 'PIGN', 'PML', 'LITAF', 'MYO1G', 'N4BP2L2', 'CD37', 'SLC25A26', 'NDUFA11', 'SVBP', 'AQP7', 'KNL1', 'HTATIP2', 'IFT74', 'GADD45GIP1', 'TNFRSF21', 'NARS2', 'ZSWIM5', 'TGM5', 'H2BC5', 'PTN', 'B9D1', 'B4GALT5', 'TMEM130', 'NBPF3', 'SUV39H1', 'Q15559', 'SYP', 'PCCB', 'MAP1S', 'ECHS1', 'NME4', 'CAB39L', 'PHACTR1', 'ADCY9', 'GPR61', 'PPP2R2C', 'KRT78', 'H2BC3', 'PPOX', 'AKAP17A', 'AID', 'PDCL2', 'BMF', 'NUP62', 'MYO7B', 'TP53I11', 'HIGD2A', 'IL10RA', 'MGC27345', 'CXCR3', 'TMEM230', 'CCDC61', 'CRYBG3', 'HOXD9', 'FAM217A', 'SYAP1', 'KCNA1', 'VSIG4', 'MAGI3', 'J3KPV8', 'ZNF718', 'MATN3', 'ATP1A1', 'NSD2', 'UTP14A', 'KCTD5', 'LINC00518', 'NDST2', 'HEL-S-69P', 'DSC3', 'SYT17', 'SASH3', 'STUM', 'RITA1', 'RCL1', 'DIMT1', 'NT5DC2', 'RPL7L1', 'FBXO45', 'FTL', 'GPC4', 'MED23', 'PITX1', 'ADAM33', 'ATP13A2', 'TAF1C', 'PTGES', 'MAGEA2B', 'NR1H2', 'POLK', 'ALPG', 'ARHGAP26', 'FBXL17', 'CUL9', 'FZD1', 'ZNF567', 'Q9HBB3', 'CPTP', 'TCF20', 'CBX7', 'BFAR', 'SYBU', 'ZNF395', 'EEF1B2', 'P4HB', 'DKK4', 'LIMK2', 'TC2N', 'JMJD7', 'SEC14L5', 'EPHA5', 'TYRP1', 'TBL3', 'GYS2', 'NUSAP1', 'DGAT2L6', 'PRDM7', 'WRAP53', 'EPB41', 'FBXO48', 'PCOTH', 'DKFZP686J08252', 'MOB4', 'KIAA1305', 'TCHH'}"
Random_CoreNet_GRN_sig_only_size_match_196,0,0,0,"{'LDLRAD1', 'AP3M1', 'PLVAP', 'MISP', 'SKAP2', 'CRHBP', 'VANGL1', 'HNRNPK', 'G3V3V0', 'CLMP', 'ABCC8', 'ALG14', 'Q8N5D4', 'MXRA7', 'KPNA6', 'SERPINH1', 'ZNF620', 'GOLGA3', 'PAXBP1', 'BSCL2', 'ITIH5', 'THOP1', 'HDHD3', 'IGKV4-1', 'USP21', 'SNRPE', 'MAGEB16', 'C1ORF159', 'JAGN1', 'MRI1', 'RAB6A', 'Q9H491', 'ACTRT1', 'KIAA1522', 'CPNE4', 'AIFM3', 'EGR4', 'MACC1', 'SCN2A', 'SPRED1', 'CRLF2', 'WT1-AS', 'RNF144A', 'B3KM38', 'SLC35G2', 'EPHB3', 'NPY5R', 'CEP55', 'EFNA5', 'ARFIP1', 'YEATS2', 'EDF1', 'SMC5', 'SHOX2', 'DEPP1', 'SOS2', 'ARPIN', 'GK3P', 'CLIC6', 'NAA38', 'FARP2', 'GJB2', 'GNG7', 'MAP3K15', 'SERPINE1', 'C4A', 'EXOC4', 'CABIN1', 'C2ORF16', 'F8VZD8', 'KIR3DX1', 'PSME3IP1', 'TAF7L', 'Q53FN0', 'OTUD5', 'DCDC2B', 'ERH', 'SEMA4G', 'PRRT1', 'CD109', 'THNSL1', 'TLCD3A', 'NUDT12', 'PPP1R21', 'CEP295', 'MROH8', 'CASC5', 'TOMM22', 'LEFTY2', 'WDR62', 'ATF4', 'UPI000013CFCA', 'BET1L', 'TRMT9B', 'EML6', 'EEF1A2', 'POLM', 'BST1', 'NUP54', 'SRSF5', 'KLHDC2', 'IRAK4', 'LRRC49', 'ITGB6', 'MANEAL', 'SLC2A4', 'Q6PNN2', 'TCERG1', 'PCDHB12', 'WNT7B', 'C9JIR5', 'BSPRY', 'AAK1', 'TMEM245', 'S1PR2', 'ZNF114', 'MAEA', 'KCTD19', 'PYM1', 'B2RDE6', 'EPS8L1', 'S1PR4', 'BCS1L', 'ALPL', 'IL1RL1', 'LACRT', 'SUB1', 'RGPD5|RGPD6', 'SPATA32', 'HSPB3', 'C3ORF20', 'MTCP1', 'SH3BP1', 'SEMA5B', 'Q59FJ2', 'TMEM207', 'ZNF267', 'IL32', 'EPHA5', 'SLC39A4', 'CCDC124', 'GRAMD2B', 'GFUS', 'F8WEI5', 'NDFIP2', 'ATP5F1EP2', 'AURKAIP1', 'HACD2', 'RIOX2', 'ZSCAN21', 'GALNT10', 'PRDM9'}"
Random_CoreNet_GRN_sig_only_size_match_197,0,0,0,"{'H7BXP5', 'S6B2A6', 'EDIL3', 'SASH1', 'ATRX', 'CAPRIN2', 'RABGGTA', 'Q53FP9', 'TMPRSS2', 'CCDC24', 'NBL1', 'Q3SYH3', 'MIDEAS', 'UNC80', 'BOLA2-SMG1P6', 'NPAS2', 'F11', 'BTBD3', 'CCNB1IP1', 'MGAT1', 'SDHAF1', 'ACAN', 'POLR3E', 'ROMO1', 'MYH3', 'CALCRL', 'ZNF396', 'CHST15', 'NECTIN2', 'ENC1', 'HIGD1C', 'RDH14', 'TMED10', 'CH25H', 'PLS1', 'Q9NZ48', 'INTS6L', 'IL37', 'OR7C2', 'RAB2B', 'POLR3F', 'Q5VXS9', 'PLEKHA4', 'TMPRSS11E', 'RTL4', 'LRRC20', 'SLCO1C1', 'PTGS1', 'EEF1D', 'MOBP', 'CDCA5', 'IQSEC2', 'APOC2', 'PIPOX', 'CCDC85A', 'SLC16A7', 'FAM3D', 'PLEKHA5', 'ZSCAN5B', 'IRGC', 'MCM3', 'RMDN3', 'RARS2', 'ARMCX3', 'CDC73', 'IFIT2', 'TAS2R19', 'SRPK3', 'ADNP2', 'TXLNA', 'HJURP', 'KISS1', 'IHO1', 'I3L0E3', 'CRYBA4', 'INSM1', 'B4E136', 'SUSD4', 'RPL37A', 'CHD8', 'RAC2', 'DKFZP686I15212', 'DDX3X', 'IFNA14', 'KPNA5', 'EHBP1L1', 'SAT1', 'Q59GT1', 'BVES', 'UTY', 'TPCN2', 'CD3D', 'VSIG4', 'MYO10', 'CYBA', 'SULT1A1', 'LHFPL5', 'SNAPC4', 'TSPAN11', 'KRTAP9-8', 'AIM2', 'ZNF398', 'KCTD5', 'OTUD4', 'ESS2', 'IQGAP1', 'GSTA2', 'ZNF148', 'GANAB', 'F5H5E5', 'IRF8', 'MTERF1', 'ZNF780A', 'HNRNPUL1', 'HPX', 'KRTAP8-1', 'DHX57', 'B4DUS4', 'CDC42', 'RADX', 'TRIM14', 'PKNOX2', 'HBD', 'POLK', 'ARHGEF17', 'COG7', 'CDCREL-1', 'B4DHK7', 'ANOS1', 'SETDB1', 'STAM2', 'TXNRD3', 'KCNC4', 'CBWD6', 'NR5A1', 'HS6ST2', 'LEPROTL1', 'Q6XYD2', 'BSN', 'Q14784', 'COPS3', 'PLCH1', 'SEMA4A', 'EPHA5', 'WWC3', 'PRR20E', 'CNTRL', 'TREX1', 'ELAC2', 'UCHL1', 'CHRNA5', 'KRTCAP3'}"
Random_CoreNet_GRN_sig_only_size_match_198,0,0,0,"{'NADK2', 'CDK13', 'COX7A1', 'C21ORF57', 'UNC5B', 'NDUFS2', 'SLC35E1', 'KCNB2', 'TRIM22', 'FOSL2', 'HMGB1P1', 'KLK5', 'RHBDF1', 'BCCIP', 'TNFSF13B', 'MYO1C', 'Q16221', 'VAPB', 'PAG1', 'NONO', 'CIDEC', 'Q9H3J7', 'GPERIK', 'TSGA10', 'ABCD4', 'VPS33B', 'IL1F10', 'DTNBP1', 'TXNRD1', 'GNA14', 'RNF6', 'LACC1', 'KLF15', 'CCDC181', 'ZDBF2', 'ZNF343', 'DNAJC30', 'EDA', 'TIAL1', 'NOTCH3', 'AUP1', 'MTF2', 'GLIPR1', 'NKTR', 'CCDC71L', 'HMX3', 'NDUFAF7', 'RPS10P5', 'PLEKHG1', 'INTS1', 'DUSP14', 'RPL27', 'Q9NWJ2', 'CPNE9', 'ATP5MC2', 'PDCD5', 'TAGLN2', 'BIN1', 'CCR5', 'TAS1R3', 'SMARCA4', 'PAEP', 'RABL2A', 'C9ORF152', 'VAMP4', 'TCF19', 'NPPB', 'KCNH2', 'CCL16', 'WHRN', 'DDO', 'ATP5MC3', 'ANKS6', 'STC1', 'STK25', 'RHOH', 'EIF2S1', 'BRWD3', 'NDUFS3', 'FOXO3', 'TNK2', 'VARS2', 'GTDC1', 'HOOK1', 'JUP', 'RPSA', 'HPS5', 'SLC25A35', 'E2F6', 'Q59H13', 'POLB', 'B3KXA2', 'POLR2J2', 'NEK3', 'TIMM9', 'TRAV4', 'ANO2', 'CHMP4C', 'UGT1A4', 'PEX1', 'PABIR2', 'SCRG1', 'ZSWIM7', 'H3-2', 'RPS28', 'MOCOS', 'ZNF571', 'TAGLN', 'HSP90AB1', 'EGF', 'VAMP7', 'ELAVL1', 'USP42', 'FSTL3', 'CALR3', 'SIX3', 'B2M', 'PCNX3', 'TCEA1', 'FDX1', 'IKZF3', 'Q6ZRA3', 'TARBP2', 'EIF1AY', 'AP1S1', 'UROC1', 'MEX3D', 'BNIPL', 'MPP2', 'CAP2', 'CCL3', 'GYS2', 'PPM1B', 'PDE6C', 'PCYT1A', 'GFUS', 'EFR3A', 'CDKN2AIPNL', 'SEMG1', 'HOXC9', 'OXER1', 'RFPL2', 'NPHP1', 'AMIGO3', 'S6BAN1', 'HAAO', 'GRHL3', 'RBM19', 'ZKSCAN2', 'DOT1L', 'MAGEA4', 'GPNMB'}"
Random_CoreNet_GRN_sig_only_size_match_199,2,2,3,"{'FAM13C', 'KIF26A', 'TTI1', 'FAM118A', 'HIF1AN', 'SATB2', 'ERICH4', 'Q53GZ6', 'PRM2', 'GPRIN1', 'MCMBP', 'C14ORF1', 'POLR3A', 'PRR3', 'ETFDH', 'RPL31', 'GMPPA', 'PHAX', 'RACGAP1', 'FBXO3', 'NATD1', 'ACOXL', 'LHX9', 'DNAL4', 'CD55', 'MBNL2', 'BPHL', 'GRPR', 'Q504X2', 'H6PD', 'SLC25A3', 'EEF1E1', 'PABPC1', 'OGFRL1', 'TBRG1', 'MG44', 'PGLS', 'A8K2U6', 'MTURN', 'MYBPHL', 'UPI0002176A5B', 'ABCB1', 'RPL28', 'SEPSECS', 'PSMB7', 'MCFD2', 'INO80D', 'TSPAN31', 'PFKFB3', 'RAB2B', 'MAP3K1', 'SEC13', 'MSGN1', 'RIMS2', 'SYMPK', 'TSEN15', 'HRH1', 'PPARG', 'Q96BA2', 'PODXL2', 'TJP1', 'DNAJB6', 'HEL-S-34', 'UBTD2', 'ICOS', 'RNLS', 'ROGDI', 'NLRP5', 'SNX11', 'C9ORF163', 'HSPA13', 'MOSPD3', 'PDCD4', 'SYNC', 'PNKP', 'E2F5', 'EHMT1', 'MTA2', 'ZNF57', 'H7C417', 'MANSC1', 'ATP8B3', 'F11R', 'FETUB', 'AGMAT', 'CD48', 'INCA1', 'RBMX', 'TRIM32', 'ODF3L2', 'BCL2L11', 'CDH24', 'L3MBTL4', 'CNTN2', 'PFDN4', 'TC4', 'EGR1', 'MRAP', 'LCE3A', 'CYBA', 'MCF2', 'SLC30A2', 'ZNF185', 'KDM3A', 'LPP', 'Q59GL9', 'KRAS', 'NFIL3', 'HIST1H1E', 'EMG1', 'B4DUS5', 'VCX', 'DDX27', 'ZKSCAN7', 'CASC3', 'EI24', 'NKG7', 'RAB12', 'CSF2', 'CLCN7', 'GPR141', 'ERVFRD-1', 'KCNA2', 'FAM187B', 'RRAGB', 'MEGF8', 'CREB5', 'QRSL1', 'PTGER3', 'C9ORF64', 'TTC29', 'SPECC1L', 'IL4', 'SERPINA3', 'MERP1', 'SLC25A23', 'HEATR4', 'HSPB3', 'CCNB2', 'POLR2F', 'IL22RA2', 'Q5T6L7', 'ZNF764', 'SPIN3', 'Q9HAA9', 'MID2', 'CCKAR', 'SLC22A24', 'MAPK13', 'YIPF5', 'LIPE', 'MAPK1IP1L'}"
Random_CoreNet_GRN_sig_only_size_match_200,0,0,0,"{'TRAF3', 'GNA11', 'MGAM2', 'TCF23', 'MAPK4', 'KLHDC3', 'MCOLN3', 'MSX2', 'CLHC1', 'KRT33B', 'H2BU1', 'GALNT3', 'NFU1', 'PGF', 'PPP1R26', 'CLEC12B', 'HSD17B10', 'THSD7A', 'EFNB3', 'RNF31', 'SLC25A33', 'TLR7', 'C6ORF1', 'SNX21', 'TIPRL', 'RACGAP1', 'KPNA6', 'DIO3', 'ULBP2', 'PROCR', 'SNX4', 'GAGE12B|GAGE12C|GAGE12D|GAGE12E', 'SLC1A5', 'PRKAG2', 'C8ORF34', 'ZNHIT6', 'DCAF4L1', 'WNK3', 'ATP12A', 'CAPN1', 'NUS1', 'DHX35', 'MINK1', 'KCNQ1', 'G8JLB4', 'TFRC', 'KCTD10', 'RGS18', 'CRH', 'KIAA1549', 'TFAP2D', 'ERBIN', 'TMEM252', 'MROH1', 'FRMPD2', 'PRMT6', 'Q9P1R8', 'DLK2', 'P2RX6', 'SLC1A3', 'PRDX2', 'TRIM54', 'RABIF', 'NXPE4', 'IDO1', 'ADSS1', 'CEBPD', 'MTDH', 'C2ORF68', 'Q8WWI3', 'BRMS1', 'SPINK5', 'BST2', 'ACTR10', 'SP7', 'GZF1', 'PDLIM5', 'CHST13', 'BAIAP2', 'LIME1', 'C6ORF15', 'TCN1', 'PREB', 'TMEM74B', 'RCN1', 'C7ORF26', 'MELTF', 'SUMO3', 'CTF1', 'NUDT14', 'LAGE3', 'ATP5MC3', 'DLG2', 'SPON1', 'GEMIN6', 'AKR1B15', 'A8K6V0', 'ARHGAP30', 'GCDH', 'SMIM11A', 'PHOSPHO2', 'IL18RAP', 'NMES1', 'SERAC1', 'PRAG1', 'HEXB', 'SPTLC1', 'PDZD2', 'SYNJ2BP', 'PSMD11', 'CFAP97D1', 'TRIM6', 'SPHKAP', 'ZKSCAN7', 'TUBB6', 'SIT1', 'ANO3', 'MEGF8', 'TCF21', 'MAP2K6', 'B4E0Q1', 'TMEM87A', 'USP42', 'TYW1B', 'EIF2S3', 'PLEKHH3', 'TENM3', 'ND4L', 'CENPT', 'ABLIM2', 'INSC', 'FAM199X', 'IFT140', 'KCTD17', 'ARL2BP', 'SLC25A40', 'ARRB1', 'LGALS9B', 'PRPF6', 'PRPH', 'CCNA1', 'CCDC124', 'NPPA', 'PRRG2', 'OPN4', 'GNA15', 'ADAMTSL5', 'TFDP2', 'STK11', 'NDUFAF8', 'SPANXN5', 'PDCD11'}"
Random_CoreNet_GRN_sig_only_size_match_201,2,2,2,"{'COLQ', 'CERS1', 'THUMPD2', 'MAP3K7CL', 'MDM2', 'OBSL1', 'SGK3', 'DHRS3', 'COX4I1', 'CXCR1', 'SFRP1', 'FANCD2', 'LMTK3', 'ABHD1', 'TRAF3IP3', 'TSPAN33', 'MVK', 'UNC93A', 'CALB2', 'NSF', 'AP1G2', 'Q9NYC6', 'JAM2', 'PTCH1', 'SNURF', 'Q0KKI6', 'CIDEC', 'RUBCN', 'REV1', 'INPP5F', 'KCNJ8', 'HSP90AB4P', 'ZNF106', 'MRPS18B', 'RIT2', 'ZNF440', 'PABIR3', 'EDA', 'STAT5A', 'TPPP', 'UBE2L6', 'INHA', 'AIMP2', 'CARMIL2', 'SLCO1C1', 'ZNF319', 'ZSCAN10', 'Q59EZ2', 'VWDE', 'SHQ1', 'TMPRSS11A', 'POLE4', 'HS3ST3B1', 'TBC1D8B', 'PGAP3', 'DSG2', 'ALDH7A1', 'ZIM2', 'EARS2', 'LILRB2', 'H3C1|H3C2|H3C3|H3C4|H3C6|H3C7|H3C8|H3C10|H3C11|H3C12', 'HCK', 'UPI0002065BA0', 'PPP1R16B', 'CLVS2', 'MGRN1', 'CRYAA2', 'BCORL1', 'SEMA4D', 'BHMT2', 'CSN3', 'HDAC5', 'SGPL1', 'EIF3G', 'CCL26', 'PGLYRP3', 'STAP1', 'ZNF276', 'LSS', 'METRNL', 'ST7L', 'KIAA0408', 'ZNF699', 'OR4N4', 'RIMBP3C', 'WAC', 'HMGN1', 'CCDC83', 'KCTD5', 'KRTAP9-8', 'PTCRA', 'UFC1', 'F8WCX0', 'SDCBP', 'RHOA', 'TTC32', 'UBA2', 'IKZF5', 'GSC2', 'MRPL17', 'PCK1', 'RYBP', 'TLE3', 'GPR84', 'FOXO1', 'COA3', 'ARL11', 'Q53HG0', 'HNRNPCL1', 'SPATA7', 'H3-2', 'SGSM1', 'C4ORF17', 'TGM7', 'Q6PJG0', 'F8W6J9', 'CUL9', 'ALKBH7', 'AFTPH', 'WASHC2C', 'KLHL14', 'TTC21B', 'PDSS1', 'KCNJ11', 'GSDME', 'CTBP1', 'ARL2', 'DOK2', 'CLOCK', 'SBNO2', 'SPATA32', 'RPL5', 'KRTAP19-6', 'PLEKHA6', 'MAT2B', 'KCTD17', 'SERPINA7', 'DSTN', 'NASP', 'TASP1', 'HSPA4', 'SLC25A36', 'MBD4', 'PAPPA', 'PTPRM', 'CCM2', 'ERAP1', 'FSHB', 'CDC25B', 'SPATA20', 'SPDEF', 'ALDH6A1'}"
Random_CoreNet_GRN_sig_only_size_match_202,0,0,1,"{'CABP2', 'DDC', 'BBIP1', 'TBX22', 'TIMM23B', 'VPS51', 'TP53BP2', 'FOXN4', 'CRYBA2', 'COX4I1', 'CLDN9', 'GALNT3', 'CXXC4', 'AP2M1', 'Q9H376', 'ZNF491', 'TLR7', 'SNRPG', 'POLR2K', 'Q7Z3Y4', 'D2HGDH', 'SNX21', 'PPL', 'B3KW14', 'TCF12', 'ZNF296', 'ACAT1', 'COQ3', 'ZNF18', 'SH2D3A', 'E7EMG6', 'DSN1', 'PGBD5', 'MTUS2', 'SAMSN1', 'EFHC1', 'POLR3E', 'SOX4', 'FBXL7', 'CCDC71', 'TMF1', 'MRPL41', 'IVD', 'CNDP1', 'SNX19', 'SEPSECS', 'SLF1', 'TRPC6', 'GPIHBP1', 'HNRPM', 'KNOP1', 'MAGEB10', 'NKTR', 'CUL4B', 'HEL2', 'CHRNB2', 'SNRPB2', 'RASA4', 'CPNE9', 'ZNF221', 'TRPT1', 'S100A3', 'C5ORF46', 'RNF165', 'STARD3', 'Q96FS5', 'CYB5D2', 'KLK8', 'PTPN1', 'ZNF84', 'PRSS12', 'GCNT2', 'PNMA2', 'HSPA13', 'ADGRF3', 'DENND2A', 'TCEAL9', 'PENK', 'UGT8', 'CYYR1', 'RAD9A', 'ODR4', 'Q86U72', 'NPIPB15', 'GEM', 'NSL1', 'TCAP', 'MAGEF1', 'VGLL2', 'RBM18', 'KCNIP3', 'FBF1', 'DKFZP761B2210', 'ZNF137P', 'TFB1M', 'EEF2', 'THAP8', 'PALLD', 'GRHPR', 'CELSR1', 'SIX6', 'AGRP', 'CDKN1C', 'CELF5', 'S1PR3', 'UAP1', 'BPGF-1', 'GJB3', 'MEMO1', 'SHLD1', 'NEK3', 'AMPD1', 'CDH10', 'KIAA1143', 'INHBA', 'ECSIT', 'DACT1', 'MAP2K6', 'AMT', 'ATG10', 'ARHGEF37', 'EYA1', 'CPEB3', 'SEM1', 'GSDME', 'LGI1', 'PRDX3', 'ALOX15B', 'A9C4B2', 'SRL', 'ACER1', 'PADI3', 'FJX1', 'OTUD1', 'CALM3', 'HMGN2', 'CCDC39', 'DENND1C', 'TFAP4', 'FRS2', 'TWF2', 'DDI2', 'ZDHHC1', 'ZNF587', 'HIF3A', 'TACR2', 'LTK', 'IL19', 'MAP2K7', 'CHD2', 'ADAM22', 'STC2'}"
Random_CoreNet_GRN_sig_only_size_match_203,2,3,2,"{'ZNF229', 'HEL-S-271', 'PXYLP1', 'GATA6', 'BCAT2', 'BBIP1', 'KLHL1', 'INTS8', 'U5-116KD', 'MMRN1', 'CCDC186', 'PLCG1', 'KANSL1L', 'GTF3C6', 'F8', 'IFP38', 'RPP21', 'GSTO1', 'GATA3', 'E9PLD3', 'OAZ2', 'PP9457', 'AP3M2', 'FAM124B', 'BHLHE41', 'STX2', 'COMMD10', 'DIS3L2', 'KCTD21', 'PRSS22', 'ACAD10', 'DESI2', 'RFC1', 'PLK4', 'BTBD11', 'ZNF511', 'KRTAP1-3', 'UTP11', 'URB2', 'ZNF512B', 'MT2A', 'FOXF2', 'DLX4', 'CYP2W1', 'GSKIP', 'TRIM16L', 'HCST', 'RHOF', 'FMR1NB', 'E5KN55', 'COMMD3', 'TEDC1', 'SMAD7', 'TRAPPC6A', 'ALLC', 'PAX3', 'FLJ10324', 'TAF1L', 'CASQ1', 'CCR5', 'NOG', 'MIER2', 'NADH3', 'ZNF84', 'CSF3', 'OSTF1', 'RBBP4', 'MAPK6', 'Q5SP16', 'CCDC74A', 'AFAP1', 'CGREF1', 'ZNF19', 'STX10', 'SLC19A3', 'ANKS1B', 'CADM4', 'CBLB', 'TSN', 'PPCDC', 'SEL1L3', 'CCR7', 'TOR1A', 'CASZ1', 'STAT5B', 'SLC25A25', 'Q59EX4', 'TKT', 'CTDSP2', 'MEX3C', 'ID4', 'USP44', 'SIK2', 'TMEM135', 'NINJ2', 'ELK3', 'LAMP2', 'PTPN12', 'PCDHA6', 'AIG1', 'PNMT', 'CSNK2A1', 'Q86YY1', 'Q5T3U0', 'K7N5N2', 'RPS6KA2', 'HES6', 'KCNA10', 'SOX15', 'VPS39', 'ELF1', 'DBX1', 'COPE', 'NOL11', 'WDR53', 'KIAA1841', 'CREB3', 'ZNF7', 'KRTAP4-12', 'L3HYPDH', 'SHTN1', 'SEC22A', 'CHD4', 'HYLS1', 'COL14A1', 'TUBGCP5', 'SSNA1', 'CUEDC1', 'NRAS', 'PAK1', 'KRTAP12-2', 'MYO5A', 'IMPDH2', 'C10ORF62', 'FAM72A', 'PSMA4', 'KATNAL2', 'RASL10A', 'TINAG', 'KATNIP', 'SLX1A|SLX1B', 'AK8', 'A4GALT', 'MS4A12', 'MKLN1', 'RPL11', 'ARHGAP22', 'FNBP1', 'AMELY', 'C1ORF74', 'PRF1', 'MAP2K7'}"
Random_CoreNet_GRN_sig_only_size_match_204,1,1,1,"{'COLQ', 'B3GALNT1', 'PPP1R7', 'CD300LF', 'IDH3G', 'PDZK1IP1', 'BOLA3', 'SPX', 'CRYGS', 'THNSL2', 'IL22', 'CA10', 'ZNF557', 'C5ORF34', 'H7BXD9', 'Q5STZ7', 'LRRC29', 'RCAN1', 'TARDBP', 'KIAA0754', 'PTPN21', 'C9JAL6', 'FAM124B', 'TRIM69', 'FAM210B', 'B3KNU0', 'DCAF1', 'VENTX', 'Q9BSD4', 'TBC1D30', 'TRDN', 'C2CD6', 'FADS1', 'ACSL6', 'C14ORF119', 'ATP6V1E2', 'SIAH1', 'TSPAN31', 'ZNRF2', 'CDC42BPA', 'PPM1A', 'FXYD6-FXYD2', 'DLL1', 'B4GALT1', 'INKA2', 'TSEN15', 'IGSF3', 'PCCB', 'FLII', 'REPIN1', 'SLC9A8', 'PIP5K1B', 'GOLGA8R', 'CCDC141', 'KIF1C', 'Q59FP7', 'RNF157', 'FAT4', 'LAMB2', 'LMX1A', 'DNM3', 'MEIG1', 'MYO9B', 'MTDH', 'CHRNA7', 'FEM1A', 'Q8WWI3', 'TRAF2', 'GYG1', 'GATA2', 'AHSP', 'SLC51A', 'CYSRT1', 'UBL5', 'POLR2I', 'CXORF51A', 'IVL', 'GTF2F1', 'EPM2AIP1', 'ATR', 'DNAH7', 'ADD3', 'ETV6', 'CCDC106', 'FOXL2NB', 'CBLB', 'TP53INP2', 'ECD', 'ZNRD2', 'AIRE', 'BMP10', 'VPS13D', 'CLDN14', 'KRT34', 'Q6ZRI3', 'PTP4A2', 'CERS4', 'RO60', 'ZNF529', 'IRF9', 'PFN2', 'KRTAP10-10', 'ORC5', 'CRNN', 'XP32', 'GNGT2', 'BCAT1', 'C1ORF94', 'YWHAH', 'Q8N7G1', 'MCRIP2', 'SDCBP', 'Q5QPJ8', 'COL17A1', 'NEK1', 'LEF1', 'MPEG1', 'RAB12', 'MRPL57', 'PCDHB12', 'UPK2', 'TEX55', 'DCLRE1A', 'MAGEA9|MAGEA9B', 'KCTD7', 'CHCHD10', 'MYT1L', 'RNF19B', 'PDE12', 'SOGA1', 'NCR1', 'RAB4A', 'ZNF644', 'SNTA1', 'CD24', 'PRDX3', 'IL1B', 'STAC2', 'USP17L5', 'TBCB', 'CABLES2', 'TIMP2', 'NHLH2', 'ACADSB', 'MUSK', 'FNBP1', 'SLC8A3', 'ZNF232', 'HEL-S-123M', 'LRRFIP1', 'CLTRN', 'ALDH6A1'}"
