Sample,label
SEACell-43_GC-Tfh-SAP,1
SEACell-44_CM PreTfh,0
SEACell-44_GC-Tfh-SAP,1
SEACell-45_CM PreTfh,0
SEACell-45_GC-Tfh-SAP,1
SEACell-46_CM PreTfh,0
SEACell-46_GC-Tfh-SAP,1
SEACell-47_CM PreTfh,0
SEACell-47_GC-Tfh-SAP,1
SEACell-48_CM PreTfh,0
SEACell-48_GC-Tfh-SAP,1
SEACell-49_CM PreTfh,0
SEACell-49_GC-Tfh-SAP,1
SEACell-4_CM PreTfh,0
SEACell-4_GC-Tfh-SAP,1
SEACell-50_CM PreTfh,0
SEACell-50_GC-Tfh-SAP,1
SEACell-51_CM PreTfh,0
SEACell-51_GC-Tfh-SAP,1
SEACell-52_CM PreTfh,0
SEACell-52_GC-Tfh-SAP,1
SEACell-53_CM PreTfh,0
SEACell-53_GC-Tfh-SAP,1
SEACell-54_CM PreTfh,0
SEACell-54_GC-Tfh-SAP,1
SEACell-55_CM PreTfh,0
SEACell-55_GC-Tfh-SAP,1
SEACell-56_CM PreTfh,0
SEACell-56_GC-Tfh-SAP,1
SEACell-57_CM PreTfh,0
SEACell-57_GC-Tfh-SAP,1
SEACell-58_CM PreTfh,0
SEACell-58_GC-Tfh-SAP,1
SEACell-59_CM PreTfh,0
SEACell-59_GC-Tfh-SAP,1
SEACell-5_CM PreTfh,0
SEACell-5_GC-Tfh-SAP,1
SEACell-60_CM PreTfh,0
SEACell-60_GC-Tfh-SAP,1
SEACell-61_CM PreTfh,0
SEACell-61_GC-Tfh-SAP,1
SEACell-62_CM PreTfh,0
SEACell-62_GC-Tfh-SAP,1
SEACell-63_CM PreTfh,0
SEACell-63_GC-Tfh-SAP,1
SEACell-64_CM PreTfh,0
SEACell-64_GC-Tfh-SAP,1
SEACell-65_CM PreTfh,0
SEACell-65_GC-Tfh-SAP,1
SEACell-66_CM PreTfh,0
SEACell-66_GC-Tfh-SAP,1
SEACell-67_CM PreTfh,0
SEACell-67_GC-Tfh-SAP,1
SEACell-68_CM PreTfh,0
SEACell-68_GC-Tfh-SAP,1
SEACell-69_CM PreTfh,0
SEACell-69_GC-Tfh-SAP,1
SEACell-6_CM PreTfh,0
SEACell-6_GC-Tfh-SAP,1
SEACell-70_CM PreTfh,0
SEACell-70_GC-Tfh-SAP,1
SEACell-71_CM PreTfh,0
SEACell-71_GC-Tfh-SAP,1
SEACell-72_CM PreTfh,0
SEACell-72_GC-Tfh-SAP,1
SEACell-73_CM PreTfh,0
SEACell-73_GC-Tfh-SAP,1
SEACell-74_CM PreTfh,0
SEACell-74_GC-Tfh-SAP,1
SEACell-7_CM PreTfh,0
SEACell-7_GC-Tfh-SAP,1
SEACell-8_CM PreTfh,0
SEACell-8_GC-Tfh-SAP,1
SEACell-9_CM PreTfh,0
SEACell-9_GC-Tfh-SAP,1
